Name,University/Organization,Type of Chair,Conference,Year
Maria Papadopouli,University of Crete and FORTH,Student Travel Grants Chair,MobiCom,2013
My Thai,University of Florida,Registration Chair,MobiCom,2013
Jung Wook Park,LG Electronics,Web Chair,MobiCom,2013
Kai Kuikkaniemi,HIIT,Live Participation Chair,MobiCom,2013
Jae Woong Lee,University of Florida,Students Volunteers Chair,MobiCom,2013
Victor Bahl,Microsoft Research,Steering Committee,MobiCom,2013
Suman Banerjee,University of Wisconsin Madison,Steering Committee,MobiCom,2013
Ramesh Govindan,University of Southern California,Steering Committee,MobiCom,2013
David B. Johnson,Rice University,Steering Committee,MobiCom,2013
Kang Shin,University of Michigan,Steering Committee,MobiCom,2013
Aditya Akella,University of Wisconsin,Program Committee,MobiCom,2013
Alex Snoeren,University of California San Diego,Program Committee,MobiCom,2013
Ashu Sabharwal,Rice University,Program Committee,MobiCom,2013
Ben Greenstein,Google,Program Committee,MobiCom,2013
Cecilia Mascolo,University of Cambridge,Program Committee,MobiCom,2013
Cong Shen,Qualcomm,Program Committee,MobiCom,2013
Debojyoti Dutta,Cisco,Program Committee,MobiCom,2013
Dina Papagiannaki,Telefonica I and D Spain,Program Committee,MobiCom,2013
Douglas Chan,Cisco,Program Committee,MobiCom,2013
Edward Knightly,Rice University,Program Committee,MobiCom,2013
Elizabeth Belding,University of California Santa Barbara,Program Committee,MobiCom,2013
Eric Rozner,AT&T Labs,Program Committee,MobiCom,2013
Erran Li Li,Lucent Bell Laboratories,Program Committee,MobiCom,2013
Heather Zheng,University of California Santa Barbara,Program Committee,MobiCom,2013
Jason Nieh,Columbia University,Program Committee,MobiCom,2013
Kannan Srinivasan,Ohio State University,Program Committee,MobiCom,2013
Krishna Sekar,Broadcom,Program Committee,MobiCom,2013
Kun Tan,Microsoft Research,Program Committee,MobiCom,2013
Kyle Jamieson,University College London,Program Committee,MobiCom,2013
Lakshmi Subramanian,New York University,Program Committee,MobiCom,2013
Lili Qiu,University of Texas Austin,Program Committee,MobiCom,2013
Lin Zhong,Rice University,Program Committee,MobiCom,2013
Marco Gruteser,Rutgers University,Program Committee,MobiCom,2013
Mingyan Liu,University of Michigan,Program Committee,MobiCom,2013
Moustafa Youssef,Egypt-Japan University of Science and Technology Egypt,Program Committee,MobiCom,2013
Prabal Dutta,University of Michigan,Program Committee,MobiCom,2013
Shyam Gollakota,University of Washington,Program Committee,MobiCom,2013
Sneha Kasera,University of Utah,Program Committee,MobiCom,2013
Songwu Lu,University of California Los Angeles,Program Committee,MobiCom,2013
Srdjan Capkun,ETH Zurich,Program Committee,MobiCom,2013
Srikanth Krishnamurthy,University of California Riverside,Program Committee,MobiCom,2013
Sunghyun Choi,Seoul National University,Program Committee,MobiCom,2013
Thomas Moscibroda,Microsoft Research,Program Committee,MobiCom,2013
Thyaga Nandagopal,National Science Foundation,Program Committee,MobiCom,2013
Victor Bahl,Microsoft Research,Program Committee,MobiCom,2013
Vikram Srinivasan,Alcatel-Lucent,Program Committee,MobiCom,2013
Vishnu Navda,Microsoft Research India,Program Committee,MobiCom,2013
Yih-Chun Hu,University of Illinois,Program Committee,MobiCom,2013
Z Morley Mao,University of Michigan,Program Committee,MobiCom,2013
Evangelos Kranakis,Carleton University,Organizing Committee General Chair,MobiCom,2007
Jennifer Hou,University of Illinois Urbana Champaign,Program Co-Chair,MobiCom,2007
Ram Ramanathan,BBN Technologies,Program Co-Chair,MobiCom,2007
Srikanth Krishnamurthy,University of California Riverside,TPC Vice-Chair,MobiCom,2007
Gerry Chan,Terrestrial Wireless Systems,MITACS Chief Operating Officer,MobiCom,2007
David B. Johnson,Rice University,Finance Chair,MobiCom,2007
Imrich Chlamtac (Chair),CreateNet,Steering Committee,MobiCom,2007
Victor Bahl,Microsoft Research,Steering Committee,MobiCom,2007
