Name,University/Organization,No_of_times_as_TPC
Venkatesh Prasad,TU Delft,2
Vijay S. Rao,TU Delft,1
William Liu,Auckland,1
Peter Reiher,University of California Los Angeles,2
Seungbae Kim,California State University,1
Athina Markopoulou,Irvine,2
Bin Li,University of Rhode Island,3
Bo Ji,Temple University,4
Carlee  Joe-Wong,Carnegie Mellon University,1
Changhee Joo,UNIST,3
Hongbo Jiang,Huazhong University of Science and Technology,1
Jeong-hoon Mo,Yonsei University,2
Jia Liu,Iowa State University,2
Jian Tan,Ohio State University,2
John Lui,Chinese University of Hong Kong,2
Konstantinos Psounis,University of Southern California,3
Leandros Tassiulas,Yale University,3
Lei Yang,University of Nevada,2
Luo Yi Fu,Shanghai JiaoTong,1
Matthew Andrews,Nokia Bell Labs,1
Michael Neely,University of Southern California,4
Ness Shroff,Ohio State University,3
Patrick Maille,IMT,2
Reuven Cohen,Technion,3
Rui Zhang,University of Delaware,1
Sem Borst,USA and TU Eindhoven,3
Siva ja Maguluri,Georgia Institute of Technology,2
R.  Srikant,University of Illinois Urbana Champaign,1
Tony Ephremides,University of Maryland,2
Vishal Misra,Columbia University,2
Weina Wang,University of Illinois Urbana Champaign,1
Xiuzhen Cheng,George Washington Univ,2
Yanchao Zhang,Arizona State University,4
Yin Sun,Auburn University,3
Jun Murai,Keio University,1
Charlie Perkins,Nokia,1
Maria Papadopouli,University of North Carolina,1
Srikanth V. Krishnamurthy,University of California Riverside,1
Mineo Takai,University of California at Los Angeles,1
Baruch Awerbuch,Johns Hopkins University,1
Francois Baccelli,INRIA-ENS,1
Elizabeth Belding-Royer,UC Santa Barbara,2
J. J.  Garcia-Luna-Aceves,University of California,1
Takahiro Hara,Osaka University,1
Jean-Pierre Hubaux,Swiss Federal Institute of Technology (EPFL),1
Sridhar Iyer,Indian Institute of Technology,1
Nobuo Kawaguchi,Nagoya University,1
James Kempf,DoCoMo Labs USA,1
Young-Bae Ko,Ajou University,2
Ryuji Kohnos,Yokohama National University,1
Erran Li Li,Bell Laboratories,1
Jian Ma,Nokia Research Center,1
Gerald (Chip) Maguire,KTH,1
Parmesh Ramanathan,University of Wisconsin at Madison,1
Mani Srivastava,University of California at Los Angeles,1
Martha Steenstrup,Stow Research L.L.C.,1
Young-Joo Suh,Pohang University of Science and Technology,1
Lang Tong,Cornell University,2
Yu-Chee Tseng,National Chiao-Tung University,1
Takashi Watanabe,Shizuoka University,1
Yongguang Zhang,HRL Laboratories,1
Wenwu Zhus,Microsoft Research China,1
Ozgur Ercetin,Sabanci University,1
Scott MacDonald,inc.,1
Christoph Lindemann,Universität Leipzig,1
Jitendra Padhye,Microsoft Research,1
Jakob Eriksson,University of Illinois at Chicago,1
Aditya Akella,University of Wisconsin-Madison,1
Henrik Lundgren,Technicolor Paris Research Lab,1
Xiaoming Fu,Georg-August-University of Goettingen,1
Cedric J A. Westphal,DoCoMo USA Labs,1
Michalis Faloutsos,University of California Riverside,1
Dilip Krishnaswamy,Qualcomm Research Center,1
Xue Yang,Intel Research,1
Vikas Kawadia,BBN Technologies,2
Karthik Sundaresan,NEC Laboratories America,1
Yingying (Jennifer) Chen,Stevens Institute of Technology,1
Sami Rollins,University of San Francisco,1
Xin Liu,University of California,1
Jennifer Wong,SUNY Stony Brook,1
Mooi Choo Chuah,Lehigh University,1
Anthony Nicholson,Google,1
Xin Wang,SUNY Stony Brook,1
Kyu-han Kim,Deutsche Telekom,1
Jatinder Singh,Deutsche Telekom,1
P.R. Kumar ,University of Illinois Urbana Champaign,1
Sara Alouf,INRIA,1
Nilanjan Banerjee,University of Arkansas,1
Christian Bettstetter,University of Klagenfurt,3
Peter Buchholz,Technical University of Dortmund,1
Levente Buttyán,Budapest University of Technology and Economics,1
Matteo Casana,Politecnico di Milano,1
Augustin Chaintreau,Thomson Research,1
Ranveer Chandra,Microsoft Research,1
Carla Fabiana Chiasserini,Politecnico di Torino,3
Saumitra Das,Qualcomm,1
Prabal Dutta,University of Michigan,1
Jakob Eriksson,University of Illinois Chicago,1
Ramakrishna Gummadi,Massachusetts Institute of Technology,1
Hannes Hartenstein,University of Karlsruhe,1
Wenjun Hu,University of Washington,1
Boris Koldehofe,University of Stuttgart,1
Erran Li,Bell-Labs,1
John Lui,University of Hong Kong,1
Shridhar Machiraju,US Sprint,1
Martin Mauve,University of Dusseldorf,1
Pietro Michiardi,Eurecom,1
Parag Mogre,Technical University of Darmstadt,1
Giovanni Neglia,INRIA,1
Panos Papadimitratos,EPFL,1
Bozidar Radunovic,Microsoft Research,2
Anamol Seth,Intel Research,1
Vikram Srinivasan,Lucent Technologies,1
Phuoc Trangia,University of Wurzburg,1
Oliver Waldhorst,University of Karlsruhe,1
Klaus Wehrle,RWTH Aachen,1
Heather Zheng,University of California,1
Chiara Petrioli,"University of Rome ""La Sapienza""",2
